County,Rate,95% LCL,95% UCL,Count,Stability,Year
Contra Costa,4.19,3.1,5.57,49,Rate is stable,2015
Sacramento,4.17,3.2,5.36,64,Rate is stable,2012
El Dorado,4.14,1.7,8.95,7,Rate may be unstable,2018
Santa Clara,4.12,3.29,5.1,88,Rate is stable,2019
Nevada,4.07,3.25,11.91,4,Rate may be unstable,2015
Los Angeles,4.05,3.68,4.45,447,Rate is stable,2017
Mariposa,4.05,4.42,43.2,1,Rate may be unstable,2013
Yolo,4.04,2.03,7.91,10,Rate may be unstable,2020
El Dorado,4.04,2.63,8.71,8,Rate may be unstable,2015
Solano,4.02,2.39,6.51,19,Rate is stable,2018
Tehama,3.99,8.05,13.96,3,Rate is stable,2012
Madera,3.98,1.5,9.05,6,Rate may be unstable,2018
Kings,3.98,2.35,9.37,6,Rate may be unstable,2016
Napa,3.97,1.58,9.15,7,Rate may be unstable,2018
Tulare,3.96,2.32,6.5,17,Rate is stable,2014
Placer,3.94,2.21,6.7,15,Rate is stable,2015
Yolo,3.91,1.81,7.91,9,Rate may be unstable,2019
Marin,3.91,1.89,7.67,9,Rate may be unstable,2013
Trinity,3.89,4.24,52.92,1,"Rate is unstable, interpret with caution",2014
Mariposa,3.87,4.22,40.96,1,"Rate is unstable, interpret with caution",2020
Yolo,3.86,1.69,8.13,8,Rate may be unstable,2012
San Benito,3.85,2.1,14.64,2,Rate may be unstable,2016
Sacramento,3.85,2.94,4.98,60,Rate is stable,2014
Alameda,3.83,2.97,4.89,68,Rate is stable,2015
Contra Costa,3.77,2.73,5.14,42,Rate is stable,2012
Madera,3.75,1.45,8.69,6,Rate may be unstable,2017
Sacramento,3.75,2.86,4.87,61,Rate is stable,2017
Placer,3.75,2.1,6.41,14,Rate is stable,2016
Amador,3.75,2.04,23.52,2,"Rate is unstable, interpret with caution",2015
Napa,3.75,2.06,8.94,5,Rate may be unstable,2014
Kings,3.67,1.42,9.14,6,Rate may be unstable,2012
Siskiyou,3.62,1.97,19.7,2,Rate may be unstable,2018
Contra Costa,3.58,2.58,4.89,42,Rate is stable,2013
Napa,3.58,2.04,8.52,6,Rate may be unstable,2013
Santa Barbara,3.54,2.06,5.94,16,Rate is stable,2020
Tehama,3.52,1.92,14.13,2,"Rate is unstable, interpret with caution",2018
Fresno,3.52,2.46,4.94,35,Rate is stable,2018
Trinity,3.49,3.8,49.78,1,"Rate is unstable, interpret with caution",2012
Tuolumne,3.48,5.29,15.7,2,Rate may be unstable,2020
Monterey,3.48,2,5.88,15,Rate is stable,2014
San Joaquin,3.47,2.27,5.16,26,Rate is stable,2018
Marin,3.46,2.39,6.97,8,Rate is stable,2018
Kings,3.42,1.82,8.69,5,Rate may be unstable,2015
Placer,3.41,1.82,6.06,12,Rate is stable,2013
Sacramento,3.4,2.55,4.46,55,Rate is stable,2016
Glenn,3.39,3.69,24.6,1,Rate may be unstable,2016
Tehama,3.38,1.84,13.78,2,"Rate is unstable, interpret with caution",2020
Stanislaus,3.38,2.05,5.41,18,Rate is stable,2017
Glenn,3.31,3.6,24.38,1,"Rate is unstable, interpret with caution",2019
Solano,3.3,1.91,5.58,15,Rate is stable,2016
Tehama,3.3,5.32,13.73,2,Rate may be unstable,2016
El Dorado,3.3,1.83,7.9,6,Rate may be unstable,2014
Santa Clara,3.24,2.52,4.13,68,Rate is stable,2016
El Dorado,3.24,1.02,8.25,5,Rate may be unstable,2012
Monterey,3.23,1.77,5.58,14,Rate is stable,2015
San Benito,3.22,1.75,12.68,2,"Rate is unstable, interpret with caution",2018
Sutter,3.22,2.4,9.97,3,Rate may be unstable,2014
Los Angeles,3.21,2.88,3.57,353,Rate is stable,2016
Inyo,3.19,3.48,36.51,1,"Rate is unstable, interpret with caution",2017
Santa Clara,3.19,2.47,4.08,67,Rate is stable,2017
Yolo,3.19,1.89,7.07,7,Rate may be unstable,2017
Santa Clara,3.17,2.46,4.05,66,Rate is stable,2015
Stanislaus,3.17,1.92,5.11,18,Rate is stable,2013
Napa,3.15,2.71,8.12,4,Rate may be unstable,2017
Santa Barbara,3.13,1.73,5.46,14,Rate is stable,2012
Alameda,3.1,2.33,4.07,56,Rate is stable,2018
Tehama,3.07,1.68,13.2,2,Rate may be unstable,2013
Merced,3.05,1.35,6.37,8,Rate may be unstable,2012
Tulare,3.01,1.63,5.23,14,Rate is stable,2016
Colusa,2.98,3.24,27.64,1,"Rate is unstable, interpret with caution",2021
Stanislaus,2.98,1.7,4.98,15,Rate is stable,2014
Imperial,2.98,1.69,7.04,5,Rate may be unstable,2012
San Mateo,2.97,1.9,4.5,25,Rate is stable,2015
Alameda,2.91,2.16,3.87,51,Rate is stable,2014
Amador,2.9,3.16,21.02,1,"Rate is unstable, interpret with caution",2018
Tehama,2.87,2.19,12.23,3,Rate may be unstable,2015
Mendocino,2.85,4.9,10.15,2,Rate may be unstable,2012
Santa Clara,2.83,2.15,3.67,60,Rate is stable,2018
Alameda,2.81,2.1,3.73,51,Rate is stable,2016
Santa Clara,2.8,2.12,3.66,57,Rate is stable,2014
San Bernardino,2.77,2.09,3.63,57,Rate is stable,2012
Kings,2.76,1.31,7.61,4,Rate may be unstable,2018
Los Angeles,2.75,2.44,3.09,292,Rate is stable,2013
Amador,2.71,1.48,20.21,2,Rate may be unstable,2017
Los Angeles,2.69,2.38,3.02,290,Rate is stable,2014
Santa Clara,2.68,2.01,3.52,53,Rate is stable,2013
Solano,2.67,1.4,4.83,12,Rate is stable,2013
San Bernardino,2.66,2.01,3.49,57,Rate is stable,2014
San Bernardino,2.65,2,3.47,57,Rate is stable,2017
Los Angeles,2.65,2.35,2.98,283,Rate is stable,2015
San Bernardino,2.65,2.01,3.47,57,Rate is stable,2013
Tulare,2.59,1.98,4.63,11,Rate is stable,2017
Glenn,2.59,2.82,22.84,1,Rate may be unstable,2015
Stanislaus,2.56,1.42,4.41,14,Rate is stable,2016
San Mateo,2.54,1.56,3.99,21,Rate is stable,2016
Tulare,2.52,1.35,4.5,12,Rate is stable,2019
Tuolumne,2.52,2.74,14.66,1,"Rate is unstable, interpret with caution",2018
Sutter,2.5,0.91,8.79,3,Rate may be unstable,2019
Tulare,2.5,1.27,4.63,11,Rate is stable,2015
Alameda,2.48,1.8,3.38,44,Rate is stable,2013
Stanislaus,2.48,1.32,4.35,13,Rate is stable,2012
Solano,2.46,1.24,4.6,10,Rate may be unstable,2017
Sacramento,2.44,1.74,3.37,40,Rate is stable,2015
Monterey,2.42,1.27,4.42,12,Rate is stable,2016
El Dorado,2.38,1.29,6.3,5,Rate may be unstable,2017
San Mateo,2.38,1.46,3.79,20,Rate is stable,2013
Sonoma,2.35,1.28,4.21,12,Rate is stable,2013
Napa,2.29,1.64,7.05,3,Rate may be unstable,2019
Placer,2.29,1.06,4.63,8,Rate may be unstable,2012
Santa Clara,2.27,1.66,3.07,45,Rate is stable,2012
San Mateo,2.26,1.38,3.6,20,Rate is stable,2014
Los Angeles,2.25,1.97,2.56,237,Rate is stable,2012
Mariposa,2.22,2.42,40.79,1,Rate may be unstable,2016
Yolo,2.21,1.05,5.77,5,Rate may be unstable,2018
Tehama,2.18,1.19,11.52,2,"Rate is unstable, interpret with caution",2014
Yolo,2.15,1.21,5.66,6,Rate may be unstable,2021
San Mateo,2.15,1.27,3.48,18,Rate is stable,2012
Placer,2.14,1,4.29,9,Rate may be unstable,2014
Tulare,2.06,1.01,4.08,9,Rate may be unstable,2012
Sutter,2.05,1.11,8.46,2,Rate may be unstable,2017
Alameda,2.03,1.43,2.83,37,Rate is stable,2017
Plumas,2,2.18,37.35,1,"Rate is unstable, interpret with caution",2017
Alameda,1.97,1.36,2.81,33,Rate is stable,2012
Placer,1.94,0.83,4.02,8,Rate may be unstable,2018
Calaveras,1.76,0.96,17.34,2,Rate may be unstable,2014
San Bernardino,1.74,1.22,2.44,38,Rate is stable,2015
Monterey,1.73,1.19,3.5,8,Rate is stable,2018
Tulare,1.73,0.71,3.64,7,Rate may be unstable,2018
San Bernardino,1.67,1.18,2.34,36,Rate is stable,2016
Monterey,1.65,0.67,3.54,7,Rate may be unstable,2017
Napa,1.64,0.9,6.04,2,"Rate is unstable, interpret with caution",2016
Tuolumne,1.59,0.87,12.35,2,"Rate is unstable, interpret with caution",2019
Marin,1.52,0.83,4.21,5,Rate may be unstable,2014
Marin,1.5,1.08,4.5,3,Rate may be unstable,2015
El Dorado,1.22,0.67,5.09,2,"Rate is unstable, interpret with caution",2013
Kings,1.06,0.58,5.03,2,"Rate is unstable, interpret with caution",2019
Tehama,1.02,1.11,10.25,1,Rate may be unstable,2019
Calaveras,0.86,0.94,16.06,1,"Rate is unstable, interpret with caution",2017
Solano,0.58,0.42,2,3,Rate may be unstable,2012
Napa,0.44,0.48,4.06,1,"Rate is unstable, interpret with caution",2012
Alpine,0,,990.98,0,,2022
Sierra,0,,261.33,0,,2022
Mono,0,,88.01,0,,2021
Sierra,0,,273.02,0,,2021
Alpine,0,,686.06,0,,2020
Modoc,0,,70.88,0,,2020
Mono,0,,38.89,0,,2020
Sierra,0,,275.54,0,,2020
Trinity,0,,51.18,0,,2020
Alpine,0,,"1,408.23",0,,2019
Modoc,0,,73.29,0,,2019
Mono,0,,107.94,0,,2019
Sierra,0,,244.23,0,,2019
Alpine,0,,827.56,0,,2018
Colusa,0,,24.71,0,,2018
Del Norte,0,,18.48,0,,2018
Mariposa,0,,38.86,0,,2018
Modoc,0,,69.25,0,,2018
Mono,0,,38.11,0,,2018
Sierra,0,,231.49,0,,2018
Alpine,0,,750.08,0,,2017
Colusa,0,,24.67,0,,2017
Glenn,0,,19.59,0,,2017
Mono,0,,38.14,0,,2017
Sierra,0,,240.26,0,,2017
Tehama,0,,8.82,0,,2017
Alpine,0,,931,0,,2016
Modoc,0,,67.55,0,,2016
Plumas,0,,37.51,0,,2016
Sierra,0,,259.48,0,,2016
Alpine,0,,879.4,0,,2015
Colusa,0,,24.59,0,,2015
Inyo,0,,32.43,0,,2015
Mono,0,,38.72,0,,2015
Sierra,0,,318.78,0,,2015
Sutter,0,,5.32,0,,2015
Alpine,0,,850.09,0,,2014
Colusa,0,,24.43,0,,2014
Inyo,0,,31.75,0,,2014
Mono,0,,41.76,0,,2014
Sierra,0,,280.05,0,,2014
Alpine,0,,671.12,0,,2013
Mono,0,,46.51,0,,2013
Sierra,0,,235.8,0,,2013
Siskiyou,0,,15.3,0,,2013
Yuba,0,,7.14,0,,2013
Alpine,0,,623.99,0,,2012
Glenn,0,,18.97,0,,2012
Inyo,0,,31.73,0,,2012
Mono,0,,51.54,0,,2012
Sierra,0,,235.8,0,,2012
Yuba,0,,7.11,0,,2012
Unknown,,,,72,,2022
Unknown,,,,126,,2021
Unknown,,,,113,,2020
Unknown,,,,4,,2019
Unknown,,,,77,,2018
Unknown,,,,0,,2017
Unknown,,,,0,,2016
Unknown,,,,0,,2015
Unknown,,,,0,,2014
Unknown,,,,0,,2013
Unknown,,,,0,,2012
